id,value
id_0,26.000594995996885
id_1,65.81494445051511
id_2,21.846990939550828
id_3,27.8745144446644
id_4,10.121359601197149
id_5,32.32655164690734
id_6,39.13687531196228
id_7,15.797115117134359
id_8,48.413852792870046
id_9,34.54091609076832
id_10,38.33553352396519
id_11,57.73204389104764
id_12,33.07441266074842
id_13,36.32576998698379
id_14,26.907244855093534
id_15,12.442937564333565
id_16,50.91271193968025
id_17,22.72353736916721
id_18,15.99272269828221
id_19,17.5676888767876
id_20,15.746120293657853
id_21,28.83752095043356
id_22,38.65930997031537
id_23,12.959818309787671
id_24,61.244080079443684
id_25,44.358158481295256
id_26,25.29905746338379
id_27,8.186797757906575
id_28,31.472619636359312
id_29,35.687938553115515
id_30,14.83186234990534
id_31,11.067187770478718
id_32,16.147787052727416
id_33,6.306115984512851
id_34,17.516534639931105
id_35,39.96628986583687
id_36,20.15104312534774
id_37,25.68712991558764
id_38,9.839019071440429
id_39,63.897632192576545
id_40,46.86031852773035
id_41,21.212491502511554
id_42,53.37338091132411
id_43,19.4955762878487
id_44,44.41551793354893
id_45,49.37246854421426
id_46,58.83325151880399
id_47,41.56797235354694
id_48,51.242825981458616
id_49,40.35211899318506
id_50,28.98531213021018
id_51,21.448401297008886
id_52,38.83013920472362
id_53,23.79721253504343
id_54,37.10058024445992
id_55,41.517565166771774
id_56,24.425318900516377
id_57,21.223447387659373
id_58,33.65907380026039
id_59,33.27288905094848
id_60,12.214865899607661
id_61,24.84164429547074
id_62,31.624727960213768
id_63,55.01490522364833
id_64,48.135131888165944
id_65,26.512652930016824
id_66,38.21942775849483
id_67,52.284394057717606
id_68,26.241097664173044
id_69,35.958612400541156
id_70,63.792786266624255
id_71,54.29302443530652
id_72,44.56374910246049
id_73,12.857588085853362
id_74,10.394872817695127
id_75,36.08487459264587
id_76,62.73785513997696
id_77,2.3486239558285797
id_78,40.856917815571336
id_79,39.108613596874925
id_80,9.442935395480493
id_81,20.639695771284718
id_82,7.317623005187483
id_83,31.057813638754034
id_84,8.73239997057935
id_85,7.934416322100955
id_86,17.06080326968938
id_87,11.109885729228512
id_88,16.695936327601288
id_89,24.88862063367242
id_90,34.83718121384631
id_91,10.72092942318707
id_92,12.49288872346758
id_93,10.58841227513053
id_94,36.00773459137571
id_95,17.532436649460067
id_96,14.188077929927154
id_97,6.493367892837702
id_98,11.322319435393304
id_99,7.737367155593022
id_100,10.810253586574415
id_101,19.889774388533958
id_102,10.055784324605181
id_103,9.215914906379302
id_104,14.289913366936396
id_105,35.99297438333861
id_106,24.29351936983918
id_107,8.862672647824052
id_108,16.400416703884574
id_109,16.32105555179183
id_110,12.479063678582147
id_111,12.242103372774846
id_112,16.15664023646147
id_113,24.03539890101282
id_114,21.601614272979393
id_115,17.03945312394972
id_116,9.341499673330913
id_117,44.54722452117883
id_118,26.743812892422604
id_119,2.9775878852236692
id_120,2.1874573687403047
id_121,10.404541138802045
id_122,12.819084211457103
id_123,12.086986789493604
id_124,6.575009324391828
id_125,25.99705098259922
id_126,22.880973288941405
id_127,10.04168159500695
id_128,19.43992191771835
id_129,16.42212181700328
id_130,3.8461290141066162
id_131,33.68346754076537
id_132,15.960695421772137
id_133,22.81223779207474
id_134,25.375004509258765
id_135,23.49700223061045
id_136,10.159261490900821
id_137,23.238542631347837
id_138,82.74365430667035
id_139,61.49401587025839
id_140,30.134059653990356
id_141,18.535101026684483
id_142,23.088383207514507
id_143,7.9030849148390905
id_144,12.116682628646425
id_145,10.529238694379222
id_146,18.96232481588109
id_147,8.133318334018778
id_148,12.229980725947845
id_149,15.783084991924769
id_150,46.69972356807959
id_151,17.9481675948728
id_152,22.350110326532093
id_153,12.940486994696922
id_154,16.97082157982541
id_155,26.802115851297295
id_156,17.66435219674476
id_157,35.954728676822675
id_158,4.126580109273513
id_159,17.701177873015965
id_160,45.99078647858222
id_161,18.339701751992006
id_162,62.8052273034305
id_163,17.818095304929365
id_164,35.16413315766983
id_165,24.38602445995035
id_166,22.35834382200529
id_167,0.7791152386664737
id_168,69.29474133487416
id_169,17.802390478938133
id_170,16.35866497767653
id_171,75.69570109432391
id_172,20.03072650418378
id_173,3.9270544862876617
id_174,26.025422280517695
id_175,1.7888053318310773
id_176,8.680719512136173
id_177,18.93820393920733
id_178,19.877863570122575
id_179,20.927636145261804
id_180,44.589308681728376
id_181,30.569683295028046
id_182,29.547489013525002
id_183,12.860269895461034
id_184,5.869966091466328
id_185,40.494048594566536
id_186,35.78972347368998
id_187,35.31810937313732
id_188,14.325684403137606
id_189,22.863009690717433
id_190,13.773639745310952
id_191,15.856054612529551
id_192,31.865019654515173
id_193,73.85219166455931
id_194,29.668845778309127
id_195,13.642735704274815
id_196,63.07619222379519
id_197,18.167283408596496
id_198,19.096447172704202
id_199,22.68701933358012
id_200,154.6342926267025
id_201,25.086991803120185
id_202,59.18153968685416
id_203,8.016471974794202
id_204,60.13647225103703
id_205,34.98784921141762
id_206,13.696640737488478
id_207,15.360018866480361
id_208,65.45270126886307
id_209,16.608363427166438
id_210,31.89954499251088
id_211,71.47654333498342
id_212,21.39144501019555
id_213,89.9504978473355
id_214,40.500372702677524
id_215,73.71494492427712
id_216,105.53395181367678
id_217,75.97922284002257
id_218,30.365301617877243
id_219,20.145705996107278
id_220,31.871490997923416
id_221,54.253747679803624
id_222,25.94019325304977
id_223,38.109261950873915
id_224,42.97158553278176
id_225,7.304379183941255
id_226,4.80354484029981
id_227,77.77814260254755
id_228,29.227353196739948
id_229,1.6945347002176245
id_230,39.25955640786466
id_231,12.379771976703758
id_232,18.620967846410704
id_233,6.727876208165219
id_234,14.08059493122725
id_235,22.80699757418737
id_236,13.891132469827806
id_237,0.1152861254257409
id_238,22.430675822491892
id_239,4.808170515483708
